,date,values-SelfConsumption,values-Production,values-FeedIn,values-Purchased,values-Consumption
0,2020-08-31,0.0,0.0,0.0,0.0,0.0
1,2020-09-01,0.0,0.0,0.0,0.0,0.0
2,2020-09-02,0.0,0.0,0.0,0.0,0.0
3,2020-09-03,0.0,0.0,0.0,0.0,0.0
4,2020-09-04,0.0,0.0,0.0,0.0,0.0
5,2020-09-05,0.0,0.0,0.0,0.0,0.0
6,2020-09-06,0.0,0.0,0.0,0.0,0.0
7,2020-09-07,0.0,0.0,0.0,0.0,0.0
8,2020-09-08,0.0,0.0,0.0,0.0,0.0
9,2020-09-09,0.0,0.0,0.0,0.0,0.0
10,2020-09-10,0.0,0.0,0.0,0.0,0.0
11,2020-09-11,0.0,0.0,0.0,0.0,0.0
12,2020-09-12,0.0,0.0,0.0,0.0,0.0
13,2020-09-13,0.0,0.0,0.0,0.0,0.0
14,2020-09-14,0.0,0.0,0.0,0.0,0.0
15,2020-09-15,0.0,0.0,0.0,0.0,0.0
16,2020-09-16,0.0,0.0,0.0,0.0,0.0
17,2020-09-17,0.0,0.0,0.0,0.0,0.0
18,2020-09-18,0.0,0.0,0.0,0.0,0.0
19,2020-09-19,0.0,0.0,0.0,0.0,0.0
20,2020-09-20,0.0,0.0,0.0,0.0,0.0
21,2020-09-21,0.0,0.0,0.0,0.0,0.0
22,2020-09-22,0.0,0.0,0.0,0.0,0.0
23,2020-09-23,0.0,0.0,0.0,0.0,0.0
24,2020-09-24,0.0,0.0,0.0,0.0,0.0
25,2020-09-25,0.0,0.0,0.0,0.0,0.0
26,2020-09-26,0.0,0.0,0.0,0.0,0.0
27,2020-09-27,0.0,0.0,0.0,0.0,0.0
28,2020-09-28,3961.0,5801.0,1840.0,7570.0,11531.0
29,2020-09-29,7745.0,14646.0,6901.0,14815.0,22560.0
0,2020-09-30,383,19476,16518,2958,3341.0
1,2020-10-01,5765,20533,14435,6098,11863.0
2,2020-10-02,4,23789,21703,2086,2090.0
3,2020-10-03,0,22936,21725,1211,1211.0
4,2020-10-04,94,26741,23526,3215,3309.0
5,2020-10-05,1270,25084,19903,5181,6451.0
6,2020-10-06,2266,34548,27917,6631,8897.0
7,2020-10-07,2885,28528,22021,6507,9392.0
8,2020-10-08,2454,25537,21081,4456,6910.0
9,2020-10-09,1529,33101,25805,7296,8825.0
10,2020-10-10,4330,30215,25089,5126,9456.0
11,2020-10-11,3629,30037,22995,7042,10671.0
12,2020-10-12,601,24230,20709,3521,4122.0
13,2020-10-13,2988,30935,24943,5992,8980.0
14,2020-10-14,2723,26432,21660,4772,7495.0
15,2020-10-15,894,32826,27315,5511,6405.0
16,2020-10-16,487,32030,27186,4844,5331.0
17,2020-10-17,1587,24778,20855,3923,5510.0
18,2020-10-18,236,30960,27224,3736,3972.0
19,2020-10-19,1310,33702,27642,6060,7370.0
20,2020-10-20,2125,24657,20095,4562,6687.0
21,2020-10-21,29,21965,19752,2213,2242.0
22,2020-10-22,3758,25553,19519,6034,9792.0
23,2020-10-23,2282,21114,16105,5009,7291.0
24,2020-10-24,23,27659,25320,2339,2362.0
25,2020-10-25,2363,26815,22873,3942,6305.0
26,2020-10-26,3340,32003,24963,7040,10380.0
27,2020-10-27,1002,27579,23922,3657,4659.0
28,2020-10-28,857,32736,27615,5121,5978.0
29,2020-10-29,2,31805,29600,2205,2207.0
30,2020-10-30,637,21676,19190,2486,3123.0
0,2020-10-31,6457.0,25214,2103,4354,20860
1,2020-11-01,2419.0,27431,285,2134,25297
2,2020-11-02,7139.0,20849,3189,3950,16899
3,2020-11-03,7975.0,37953,1541,6434,31519
4,2020-11-04,7722.0,33682,3137,4585,29097
5,2020-11-05,8276.0,32125,3084,5192,26933
6,2020-11-06,9438.0,39365,3448,5990,33375
7,2020-11-07,6309.0,37503,1894,4415,33088
8,2020-11-08,1578.0,25792,31,1547,24245
9,2020-11-09,1344.0,23490,158,1186,22304
10,2020-11-10,5052.0,28363,1180,3872,24491
11,2020-11-11,2245.0,30228,0,2245,27983
12,2020-11-12,7202.0,27229,2572,4630,22599
13,2020-11-13,4069.0,26283,1290,2779,23504
14,2020-11-14,580.0,25751,0,580,25171
15,2020-11-15,4110.0,28675,766,3344,25331
16,2020-11-16,2962.0,33148,382,2580,30568
17,2020-11-17,2153.0,31467,21,2132,29335
18,2020-11-18,1132.0,29681,0,1132,28549
19,2020-11-19,6065.0,31725,1849,4216,27509
20,2020-11-20,1648.0,36078,0,1648,34430
21,2020-11-21,3417.0,28590,231,3186,25404
22,2020-11-22,4770.0,30376,1198,3572,26804
23,2020-11-23,4046.0,42035,449,3597,38438
24,2020-11-24,3382.0,30373,216,3166,27207
25,2020-11-25,1994.0,35825,10,1984,33841
26,2020-11-26,5041.0,45949,908,4133,41816
27,2020-11-27,1919.0,60391,0,1919,58472
28,2020-11-28,919.0,29728,0,919,28809
29,2020-11-29,964.0,31642,0,964,30678
0,2020-11-30,1051.0,0,1051,40893,41944
1,2020-12-01,4780.0,1736,3044,41623,44667
2,2020-12-02,971.0,0,971,45848,46819
3,2020-12-03,552.0,0,552,40156,40708
4,2020-12-04,1932.0,3,1929,54042,55971
5,2020-12-05,3343.0,879,2464,41221,43685
6,2020-12-06,1393.0,0,1393,57067,58460
7,2020-12-07,1501.0,0,1501,62711,64212
8,2020-12-08,2694.0,345,2349,48212,50561
9,2020-12-09,1687.0,0,1687,50382,52069
10,2020-12-10,625.0,0,625,46657,47282
11,2020-12-11,2809.0,581,2228,36002,38230
12,2020-12-12,4882.0,1611,3271,32733,36004
13,2020-12-13,550.0,0,550,46007,46557
14,2020-12-14,2553.0,92,2461,27091,29552
15,2020-12-15,3299.0,918,2381,39904,42285
16,2020-12-16,1385.0,5,1380,37471,38851
17,2020-12-17,2528.0,546,1982,33411,35393
18,2020-12-18,902.0,0,902,34121,35023
19,2020-12-19,3610.0,1011,2599,30805,33404
20,2020-12-20,3675.0,432,3243,39567,42810
21,2020-12-21,1370.0,0,1370,32103,33473
22,2020-12-22,1116.0,0,1116,37330,38446
23,2020-12-23,1178.0,0,1178,37327,38505
24,2020-12-24,3608.0,956,2652,46710,49362
25,2020-12-25,4729.0,1113,3616,50077,53693
