,date,values-Production,values-Consumption,values-FeedIn,values-SelfConsumption,values-Purchased
0,2021-07-31 00:00:00,0.0,450,0,0,450
1,2021-07-31 01:00:00,0.0,558,0,0,558
2,2021-07-31 02:00:00,0.0,427,0,0,427
3,2021-07-31 03:00:00,0.0,618,0,0,618
4,2021-07-31 04:00:00,0.0,1046,0,0,1046
5,2021-07-31 05:00:00,0.0,468,0,0,468
6,2021-07-31 06:00:00,101.0,472,0,101,371
7,2021-07-31 07:00:00,210.0,403,0,210,193
8,2021-07-31 08:00:00,548.0,668,42,506,162
9,2021-07-31 09:00:00,745.0,612,206,539,73
10,2021-07-31 10:00:00,1237.0,804,480,757,47
11,2021-07-31 11:00:00,1156.0,1329,436,720,609
12,2021-07-31 12:00:00,1846.0,764,1100,746,18
13,2021-07-31 13:00:00,1695.0,816,907,788,28
14,2021-07-31 14:00:00,876.0,608,295,581,27
15,2021-07-31 15:00:00,1683.0,792,902,781,11
16,2021-07-31 16:00:00,901.0,905,181,720,185
17,2021-07-31 17:00:00,967.0,846,207,760,86
18,2021-07-31 18:00:00,299.0,2160,0,299,1861
19,2021-07-31 19:00:00,936.0,718,337,599,119
20,2021-07-31 20:00:00,289.0,651,42,247,404
21,2021-07-31 21:00:00,0.0,616,0,0,616
22,2021-07-31 22:00:00,0.0,835,0,0,835
23,2021-07-31 23:00:00,0.0,533,0,0,533
24,2021-08-01 00:00:00,0.0,865,0,0,865
25,2021-08-01 01:00:00,0.0,1186,0,0,1186
26,2021-08-01 02:00:00,0.0,405,0,0,405
27,2021-08-01 03:00:00,0.0,514,0,0,514
28,2021-08-01 04:00:00,0.0,398,0,0,398
29,2021-08-01 05:00:00,0.0,416,0,0,416
30,2021-08-01 06:00:00,12.0,415,0,12,403
31,2021-08-01 07:00:00,189.0,362,0,189,173
32,2021-08-01 08:00:00,497.0,679,17,480,199
33,2021-08-01 09:00:00,887.0,1211,314,573,638
34,2021-08-01 10:00:00,1260.0,1025,493,767,258
35,2021-08-01 11:00:00,1090.0,1123,226,864,259
36,2021-08-01 12:00:00,2025.0,701,1327,698,3
37,2021-08-01 13:00:00,2136.0,815,1335,801,14
38,2021-08-01 14:00:00,2235.0,644,1600,635,9
