,date,values-FeedIn,values-Consumption,values-Purchased,values-SelfConsumption,values-Production
0,2020-12-31,0.0,0.0,0.0,0.0,0.0
1,2021-01-01,0.0,0.0,0.0,0.0,0.0
2,2021-01-02,0.0,0.0,0.0,0.0,0.0
3,2021-01-03,0.0,0.0,0.0,0.0,0.0
4,2021-01-04,0.0,0.0,0.0,0.0,0.0
5,2021-01-05,0.0,0.0,0.0,0.0,0.0
6,2021-01-06,0.0,0.0,0.0,0.0,0.0
7,2021-01-07,0.0,0.0,0.0,0.0,0.0
8,2021-01-08,0.0,0.0,0.0,0.0,0.0
9,2021-01-09,0.0,0.0,0.0,0.0,0.0
10,2021-01-10,0.0,0.0,0.0,0.0,0.0
11,2021-01-11,0.0,0.0,0.0,0.0,0.0
12,2021-01-12,0.0,0.0,0.0,0.0,0.0
13,2021-01-13,0.0,0.0,0.0,0.0,0.0
14,2021-01-14,0.0,0.0,0.0,0.0,0.0
15,2021-01-15,0.0,0.0,0.0,0.0,0.0
16,2021-01-16,0.0,0.0,0.0,0.0,0.0
17,2021-01-17,0.0,0.0,0.0,0.0,0.0
18,2021-01-18,0.0,0.0,0.0,0.0,0.0
19,2021-01-19,0.0,0.0,0.0,0.0,0.0
20,2021-01-20,0.0,0.0,0.0,0.0,0.0
21,2021-01-21,0.0,0.0,0.0,0.0,0.0
22,2021-01-22,0.0,0.0,0.0,0.0,0.0
23,2021-01-23,0.0,0.0,0.0,0.0,0.0
24,2021-01-24,0.0,0.0,0.0,0.0,0.0
25,2021-01-25,0.0,0.0,0.0,0.0,0.0
26,2021-01-26,0.0,0.0,0.0,0.0,0.0
27,2021-01-27,18.0,72622.0,70978.0,1644.0,1662.0
28,2021-01-28,268.0,50531.0,43958.0,6573.0,6841.0
29,2021-01-29,383.0,49704.0,42364.0,7340.0,7723.0
30,2021-01-30,6.0,70689.0,69648.0,1041.0,1047.0
0,2021-01-31,19,85348,82770,2578,2597
1,2021-02-01,0,88167,87569,598,598
2,2021-02-02,406,54095,44667,9428,9834
3,2021-02-03,213,35428,30915,4522,4726
4,2021-02-04,7,68412,66847,1565,1572
5,2021-02-05,396,63120,55890,7230,7626
6,2021-02-06,116,72115,66998,5117,5233
7,2021-02-07,222,76260,70517,5743,5965
8,2021-02-08,216,81982,77640,4342,4558
9,2021-02-09,182,84238,75388,8850,9032
10,2021-02-10,312,81872,68584,13288,13600
11,2021-02-11,813,91715,84690,7025,7838
12,2021-02-12,267,86385,67527,18858,19125
13,2021-02-13,55,83769,77076,6693,6748
14,2021-02-14,0,81960,80702,1258,1258
15,2021-02-15,216,63742,55932,7810,8026
16,2021-02-16,30,51871,47506,4365,4395
17,2021-02-17,84,54645,49428,5217,5301
18,2021-02-18,444,56592,46758,9834,10278
19,2021-02-19,0,62935,61735,1200,1200
20,2021-02-20,132,47103,40447,6656,6788
21,2021-02-21,48,45171,42593,2578,2626
22,2021-02-22,85,52416,46243,6173,6258
23,2021-02-23,481,50354,36270,14084,14565
24,2021-02-24,364,42335,33347,8988,9352
25,2021-02-25,224,45201,35718,9483,9707
26,2021-02-26,1086,54288,34451,19837,20923
27,2021-02-27,1990,49082,28724,20358,22348
0,2021-02-28,22403.0,36888.0,904.0,21499.0,15389.0
1,2021-03-01,11780.0,45430.0,460.0,11320.0,34110.0
2,2021-03-02,7289.0,45982.0,95.0,7194.0,38788.0
3,2021-03-03,2573.0,50615.0,22.0,2551.0,48064.0
4,2021-03-04,1633.0,57036.0,3.0,1630.0,55406.0
5,2021-03-05,4765.0,66295.0,80.0,4685.0,61610.0
6,2021-03-06,14593.0,66562.0,942.0,13651.0,52911.0
7,2021-03-07,14421.0,56347.0,440.0,13981.0,42366.0
8,2021-03-08,12512.0,53677.0,520.0,11992.0,41685.0
9,2021-03-09,21776.0,53218.0,1258.0,20518.0,32700.0
10,2021-03-10,1593.0,51393.0,8.0,1585.0,49808.0
11,2021-03-11,16238.0,58132.0,1186.0,15052.0,43080.0
12,2021-03-12,17337.0,57580.0,982.0,16355.0,41225.0
13,2021-03-13,12835.0,55360.0,939.0,11896.0,43464.0
14,2021-03-14,8895.0,53886.0,104.0,8791.0,45095.0
15,2021-03-15,13627.0,49911.0,594.0,13033.0,36878.0
16,2021-03-16,11028.0,42001.0,813.0,10215.0,31786.0
17,2021-03-17,8835.0,40488.0,209.0,8626.0,31862.0
18,2021-03-18,5981.0,42836.0,65.0,5916.0,36920.0
19,2021-03-19,7503.0,45741.0,324.0,7179.0,38562.0
20,2021-03-20,3765.0,40660.0,38.0,3727.0,36933.0
21,2021-03-21,13230.0,45706.0,769.0,12461.0,33245.0
22,2021-03-22,17689.0,50934.0,1368.0,16321.0,34613.0
23,2021-03-23,10980.0,35215.0,6160.0,4820.0,30395.0
24,2021-03-24,11484.0,43268.0,462.0,11022.0,32246.0
25,2021-03-25,10463.0,41863.0,475.0,9988.0,31875.0
26,2021-03-26,8350.0,44092.0,597.0,7753.0,36339.0
27,2021-03-27,18630.0,43064.0,2782.0,15848.0,27216.0
28,2021-03-28,5677.0,34593.0,92.0,5585.0,29008.0
29,2021-03-29,14281.0,41124.0,581.0,13700.0,27424.0
30,2021-03-30,23415.0,32175.0,5228.0,18187.0,13988.0
0,2021-03-31,274.0,22255.0,11018.0,11237.0,11511.0
1,2021-04-01,814.0,23960.0,12148.0,11812.0,12626.0
2,2021-04-02,1147.0,30345.0,13546.0,16799.0,17946.0
3,2021-04-03,171.0,29103.0,20108.0,8995.0,9166.0
4,2021-04-04,7368.0,36324.0,15922.0,20402.0,27770.0
5,2021-04-05,1259.0,36665.0,18750.0,17915.0,19174.0
6,2021-04-06,2293.0,42652.0,26286.0,16366.0,18659.0
7,2021-04-07,95.0,44990.0,37642.0,7348.0,7443.0
8,2021-04-08,1190.0,48169.0,36359.0,11813.0,13000.0
9,2021-04-09,2176.0,40305.0,24002.0,16303.0,18479.0
10,2021-04-10,31.0,35202.0,32702.0,2500.0,2531.0
11,2021-04-11,1771.0,53676.0,35057.0,18619.0,20390.0
12,2021-04-12,1079.0,52808.0,35041.0,17767.0,18846.0
13,2021-04-13,5473.0,38700.0,19831.0,18869.0,24342.0
14,2021-04-14,1903.0,40638.0,24737.0,15901.0,17804.0
15,2021-04-15,2058.0,38172.0,21537.0,16635.0,18693.0
16,2021-04-16,646.0,41844.0,27928.0,13916.0,14562.0
17,2021-04-17,10403.0,38034.0,19844.0,18190.0,28593.0
18,2021-04-18,6646.0,31486.0,11752.0,19734.0,26380.0
19,2021-04-19,7803.0,29754.0,10512.0,19242.0,27045.0
20,2021-04-20,3862.0,28305.0,8197.0,20108.0,23970.0
21,2021-04-21,2322.0,28568.0,11936.0,16632.0,18954.0
22,2021-04-22,8873.0,26866.0,6625.0,20241.0,29114.0
23,2021-04-23,7887.0,31509.0,10593.0,20916.0,28803.0
24,2021-04-24,10569.0,26615.0,8527.0,18088.0,28657.0
25,2021-04-25,9644.0,25432.0,7281.0,18151.0,27795.0
26,2021-04-26,5069.0,25961.0,9548.0,16413.0,21482.0
27,2021-04-27,476.0,26796.0,15821.0,10975.0,11451.0
28,2021-04-28,84.0,23961.0,21062.0,2904.0,2983.0
29,2021-04-29,1312.0,31227.0,13883.0,17344.0,18656.0
0,2021-04-30,17450,34638,1748,15702,18936
1,2021-05-01,21301,30973,2501,18800,12173
2,2021-05-02,19819,34641,1668,18151,16490
3,2021-05-03,7553,32380,122,7431,24949
4,2021-05-04,15456,34492,1304,14152,20340
5,2021-05-05,18665,29561,2624,16041,13520
6,2021-05-06,18480,36183,1734,16746,19437
7,2021-05-07,17534,29917,2207,15327,14590
8,2021-05-08,2169,29959,8,2161,27798
9,2021-05-09,11008,29959,531,10477,19482
10,2021-05-10,19385,29653,2769,16616,13037
11,2021-05-11,18368,20422,11934,6434,13988
12,2021-05-12,22241,31410,3200,19041,12369
13,2021-05-13,6149,25369,152,5997,19372
14,2021-05-14,8529,26897,150,8379,18518
15,2021-05-15,11219,34805,326,10893,23912
16,2021-05-16,19991,32205,1453,18538,13667
17,2021-05-17,14834,26874,2981,11853,15021
18,2021-05-18,19340,25803,2307,17033,8770
19,2021-05-19,18716,17090,6295,12421,4669
20,2021-05-20,10454,26191,999,9456,16736
21,2021-05-21,8627,22225,511,8116,14109
22,2021-05-22,10626,27583,411,10215,17368
23,2021-05-23,13932,33837,920,13012,20825
24,2021-05-24,16080,37843,1440,14640,23203
25,2021-05-25,15894,32452,1902,13992,18460
26,2021-05-26,19905,34372,1690,18215,16157
27,2021-05-27,23904,29727,1480,22424,7303
28,2021-05-28,7893,29111,127,7766,21345
29,2021-05-29,14852,32774,472,14380,18394
30,2021-05-30,21092,32329,809,20283,12046
0,2021-05-31,2088,34696,14196,20500,22588
1,2021-06-01,6196,25644,5751,19893,26089
2,2021-06-02,2425,26204,10088,16116,18541
3,2021-06-03,1222,26293,11334,14959,16181
4,2021-06-04,263,24350,12031,12319,12582
5,2021-06-05,7809,26264,6929,19335,27144
6,2021-06-06,1282,26142,14351,11791,13073
7,2021-06-07,1718,22873,6668,16205,17923
8,2021-06-08,9351,21173,5224,15949,25300
9,2021-06-09,5563,22248,4362,17886,23449
10,2021-06-10,2028,21321,9193,12128,14156
11,2021-06-11,1809,20306,6161,14145,15954
12,2021-06-12,8545,18745,4378,14367,22912
13,2021-06-13,9969,20684,3699,16985,26954
14,2021-06-14,6358,21066,4581,16485,22843
15,2021-06-15,7878,20446,4314,16132,24010
16,2021-06-16,8538,19235,4248,14987,23525
17,2021-06-17,1126,18804,9800,9004,10130
18,2021-06-18,21,17463,14473,2990,3011
19,2021-06-19,227,20677,16021,4656,4883
20,2021-06-20,62,21296,17178,4118,4180
21,2021-06-21,101,25610,18645,6965,7066
22,2021-06-22,1559,26860,12080,14780,16339
23,2021-06-23,7468,20152,4566,15586,23054
24,2021-06-24,293,21703,12197,9508,9799
25,2021-06-25,5766,19009,7506,11503,17269
26,2021-06-26,6014,19436,8156,11280,17294
27,2021-06-27,242,19598,15088,4525,4752
28,2021-06-28,224,23300,19155,4155,4369
29,2021-06-29,400,25881,18898,6991,7383
0,2021-06-30,1478,19797,12350,13822,7453
1,2021-07-01,1858,22229,14502,16360,7727
2,2021-07-02,4809,15807,10636,15445,5171
3,2021-07-03,1804,16801,9598,11402,7203
4,2021-07-04,2683,18821,14692,17369,4135
5,2021-07-05,8549,16159,12078,20627,4081
6,2021-07-06,4374,21124,13131,17505,7993
7,2021-07-07,970,20763,13000,13970,7763
8,2021-07-08,2614,22276,11694,14308,10582
9,2021-07-09,7324,18889,12428,19752,6461
10,2021-07-10,383,19695,8204,8574,11504
11,2021-07-11,547,21219,12174,12721,9045
12,2021-07-12,418,23191,11676,12094,11515
13,2021-07-13,425,20481,10230,10655,10251
14,2021-07-14,11039,20594,14146,25185,6448
15,2021-07-15,565,18313,11124,11689,7189
16,2021-07-16,9964,20656,14186,24150,6470
17,2021-07-17,12404,19377,12935,25337,6444
18,2021-07-18,8279,19153,13188,21463,5969
19,2021-07-19,8793,17587,12991,21779,4601
20,2021-07-20,8168,20661,15032,23186,5643
21,2021-07-21,10629,17198,12372,22997,4830
22,2021-07-22,10517,16298,11549,22045,4770
23,2021-07-23,11108,16030,11819,22921,4217
24,2021-07-24,298,21838,6779,7043,15093
25,2021-07-25,266,20836,4802,5068,16034
26,2021-07-26,6253,18113,11389,17642,6724
27,2021-07-27,440,22802,11794,12230,11012
28,2021-07-28,4110,21547,10972,15082,10575
29,2021-07-29,9991,21475,14346,24337,7129
30,2021-07-30,725,25474,8682,9400,16799
0,2021-07-31,463,25553,16220,9333,9796
1,2021-08-01,650,24467,13935,10541,11182
2,2021-08-02,1598,20923,9952,10971,12569
3,2021-08-03,4172,20442,7464,12978,17150
4,2021-08-04,10128,17478,5607,11871,21999
5,2021-08-05,686,20465,11628,8837,9523
6,2021-08-06,4600,22940,9738,13202,17802
7,2021-08-07,4093,19457,7573,11884,15977
8,2021-08-08,717,19457,8911,10546,11263
9,2021-08-09,4869,20608,8466,12142,17011
10,2021-08-10,5536,19807,8495,11312,16848
11,2021-08-11,5631,18922,7737,11185,16816
12,2021-08-12,482,19884,9901,9997,10465
13,2021-08-13,451,19698,10191,9507,9958
14,2021-08-14,529,17765,7617,10160,10677
15,2021-08-15,3015,18440,8487,9954,12968
16,2021-08-16,2691,20494,8266,12228,14919
17,2021-08-17,289,21685,16981,4704,4993
18,2021-08-18,5259,20764,10277,10501,15746
19,2021-08-19,3200,19118,8052,11066,14266
20,2021-08-20,368,17394,10033,7361,7729
21,2021-08-21,279,20355,16265,4100,4369
22,2021-08-22,4901,19835,6623,13220,18113
23,2021-08-23,2723,20009,10385,9624,12347
24,2021-08-24,11477,21080,8365,12725,24192
25,2021-08-25,724,22295,9706,12589,13313
26,2021-08-26,11961,17741,6815,10926,22887
27,2021-08-27,387,21323,13549,7778,8161
28,2021-08-28,4556,19656,9640,10016,14572
29,2021-08-29,838,21766,14303,7466,8301
30,2021-08-30,245,22223,18251,3972,4217
