,date,values-FeedIn,values-Consumption,values-Purchased,values-SelfConsumption,values-Production
0,2021-07-31 00:00:00,0,389,389,0,0
1,2021-07-31 01:00:00,0,404,404,0,0
2,2021-07-31 02:00:00,0,397,397,0,0
3,2021-07-31 03:00:00,0,449,449,0,0
4,2021-07-31 04:00:00,0,394,394,0,0
5,2021-07-31 05:00:00,0,1159,1159,0,0
6,2021-07-31 06:00:00,0,537,448,89,89
7,2021-07-31 07:00:00,0,603,454,149,149
8,2021-07-31 08:00:00,13,1344,956,388,401
9,2021-07-31 09:00:00,41,1722,1268,454,495
10,2021-07-31 10:00:00,61,831,214,617,678
11,2021-07-31 11:00:00,44,2257,378,1879,1923
12,2021-07-31 12:00:00,100,1363,678,685,785
13,2021-07-31 13:00:00,25,371,43,328,353
14,2021-07-31 14:00:00,39,571,70,501,540
15,2021-07-31 15:00:00,33,562,47,515,548
16,2021-07-31 16:00:00,34,444,55,389,423
17,2021-07-31 17:00:00,22,1306,43,1263,1285
18,2021-07-31 18:00:00,25,1278,79,1199,1224
19,2021-07-31 19:00:00,24,1108,317,791,815
20,2021-07-31 20:00:00,0,2230,2197,33,33
21,2021-07-31 21:00:00,0,3797,3797,0,0
22,2021-07-31 22:00:00,2,1006,970,36,38
23,2021-07-31 23:00:00,0,1031,1014,17,17
24,2021-08-01 00:00:00,0,1001,1001,0,0
25,2021-08-01 01:00:00,0,382,382,0,0
26,2021-08-01 02:00:00,0,409,409,0,0
27,2021-08-01 03:00:00,0,316,316,0,0
28,2021-08-01 04:00:00,0,428,428,0,0
29,2021-08-01 05:00:00,0,1110,1110,0,0
30,2021-08-01 06:00:00,0,609,601,8,8
31,2021-08-01 07:00:00,0,650,524,126,126
32,2021-08-01 08:00:00,16,738,525,222,229
33,2021-08-01 09:00:00,47,1747,889,858,905
34,2021-08-01 10:00:00,73,1017,518,499,572
35,2021-08-01 11:00:00,32,596,53,543,575
36,2021-08-01 12:00:00,161,1646,196,1450,1611
37,2021-08-01 13:00:00,96,1666,356,1310,1406
38,2021-08-01 14:00:00,65,481,70,411,476
39,2021-08-01 15:00:00,32,1440,83,1357,1389
40,2021-08-01 16:00:00,20,1247,34,1213,1233
41,2021-08-01 17:00:00,60,1311,122,1189,1249
42,2021-08-01 18:00:00,29,744,50,694,723
