,date,values-FeedIn-1816420,values-Consumption-1816420,values-Production-1816420,values-SelfConsumption-1816420,values-Purchased-1816420
0,2020-08-31,0.0,0.0,0.0,0.0,0.0
1,2020-09-01,0.0,0.0,0.0,0.0,0.0
2,2020-09-02,0.0,0.0,0.0,0.0,0.0
3,2020-09-03,0.0,0.0,0.0,0.0,0.0
4,2020-09-04,0.0,0.0,0.0,0.0,0.0
5,2020-09-05,0.0,0.0,0.0,0.0,0.0
6,2020-09-06,0.0,0.0,0.0,0.0,0.0
7,2020-09-07,0.0,0.0,0.0,0.0,0.0
8,2020-09-08,0.0,0.0,0.0,0.0,0.0
9,2020-09-09,0.0,0.0,0.0,0.0,0.0
10,2020-09-10,0.0,0.0,0.0,0.0,0.0
11,2020-09-11,0.0,0.0,0.0,0.0,0.0
12,2020-09-12,0.0,0.0,0.0,0.0,0.0
13,2020-09-13,0.0,0.0,0.0,0.0,0.0
14,2020-09-14,0.0,0.0,0.0,0.0,0.0
15,2020-09-15,0.0,0.0,0.0,0.0,0.0
16,2020-09-16,0.0,0.0,0.0,0.0,0.0
17,2020-09-17,0.0,0.0,0.0,0.0,0.0
18,2020-09-18,0.0,0.0,0.0,0.0,0.0
19,2020-09-19,0.0,0.0,0.0,0.0,0.0
20,2020-09-20,0.0,0.0,0.0,0.0,0.0
21,2020-09-21,0.0,0.0,0.0,0.0,0.0
22,2020-09-22,0.0,0.0,0.0,0.0,0.0
23,2020-09-23,0.0,0.0,0.0,0.0,0.0
24,2020-09-24,0.0,0.0,0.0,0.0,0.0
25,2020-09-25,0.0,0.0,0.0,0.0,0.0
26,2020-09-26,0.0,0.0,0.0,0.0,0.0
27,2020-09-27,0.0,0.0,0.0,0.0,0.0
28,2020-09-28,1840.0,11531.0,5801.0,3961.0,7570.0
29,2020-09-29,6901.0,22560.0,14646.0,7745.0,14815.0
0,2020-09-30,383,2958,3341.0,16518,19476
1,2020-10-01,5765,6098,11863.0,14435,20533
2,2020-10-02,4,2086,2090.0,21703,23789
3,2020-10-03,0,1211,1211.0,21725,22936
4,2020-10-04,94,3215,3309.0,23526,26741
5,2020-10-05,1270,5181,6451.0,19903,25084
6,2020-10-06,2266,6631,8897.0,27917,34548
7,2020-10-07,2885,6507,9392.0,22021,28528
8,2020-10-08,2454,4456,6910.0,21081,25537
9,2020-10-09,1529,7296,8825.0,25805,33101
10,2020-10-10,4330,5126,9456.0,25089,30215
11,2020-10-11,3629,7042,10671.0,22995,30037
12,2020-10-12,601,3521,4122.0,20709,24230
13,2020-10-13,2988,5992,8980.0,24943,30935
14,2020-10-14,2723,4772,7495.0,21660,26432
15,2020-10-15,894,5511,6405.0,27315,32826
16,2020-10-16,487,4844,5331.0,27186,32030
17,2020-10-17,1587,3923,5510.0,20855,24778
18,2020-10-18,236,3736,3972.0,27224,30960
19,2020-10-19,1310,6060,7370.0,27642,33702
20,2020-10-20,2125,4562,6687.0,20095,24657
21,2020-10-21,29,2213,2242.0,19752,21965
22,2020-10-22,3758,6034,9792.0,19519,25553
23,2020-10-23,2282,5009,7291.0,16105,21114
24,2020-10-24,23,2339,2362.0,25320,27659
25,2020-10-25,2363,3942,6305.0,22873,26815
26,2020-10-26,3340,7040,10380.0,24963,32003
27,2020-10-27,1002,3657,4659.0,23922,27579
28,2020-10-28,857,5121,5978.0,27615,32736
29,2020-10-29,2,2205,2207.0,29600,31805
30,2020-10-30,637,2486,3123.0,19190,21676
0,2020-10-31,2103,25214,20860,4354,6457.0
1,2020-11-01,285,27431,25297,2134,2419.0
2,2020-11-02,3189,20849,16899,3950,7139.0
3,2020-11-03,1541,37953,31519,6434,7975.0
4,2020-11-04,3137,33682,29097,4585,7722.0
5,2020-11-05,3084,32125,26933,5192,8276.0
6,2020-11-06,3448,39365,33375,5990,9438.0
7,2020-11-07,1894,37503,33088,4415,6309.0
8,2020-11-08,31,25792,24245,1547,1578.0
9,2020-11-09,158,23490,22304,1186,1344.0
10,2020-11-10,1180,28363,24491,3872,5052.0
11,2020-11-11,0,30228,27983,2245,2245.0
12,2020-11-12,2572,27229,22599,4630,7202.0
13,2020-11-13,1290,26283,23504,2779,4069.0
14,2020-11-14,0,25751,25171,580,580.0
15,2020-11-15,766,28675,25331,3344,4110.0
16,2020-11-16,382,33148,30568,2580,2962.0
17,2020-11-17,21,31467,29335,2132,2153.0
18,2020-11-18,0,29681,28549,1132,1132.0
19,2020-11-19,1849,31725,27509,4216,6065.0
20,2020-11-20,0,36078,34430,1648,1648.0
21,2020-11-21,231,28590,25404,3186,3417.0
22,2020-11-22,1198,30376,26804,3572,4770.0
23,2020-11-23,449,42035,38438,3597,4046.0
24,2020-11-24,216,30373,27207,3166,3382.0
25,2020-11-25,10,35825,33841,1984,1994.0
26,2020-11-26,908,45949,41816,4133,5041.0
27,2020-11-27,0,60391,58472,1919,1919.0
28,2020-11-28,0,29728,28809,919,919.0
29,2020-11-29,0,31642,30678,964,964.0
0,2020-11-30,1051,41944,0,40893,1051.0
1,2020-12-01,3044,44667,1736,41623,4780.0
2,2020-12-02,971,46819,0,45848,971.0
3,2020-12-03,552,40708,0,40156,552.0
4,2020-12-04,1929,55971,3,54042,1932.0
5,2020-12-05,2464,43685,879,41221,3343.0
6,2020-12-06,1393,58460,0,57067,1393.0
7,2020-12-07,1501,64212,0,62711,1501.0
8,2020-12-08,2349,50561,345,48212,2694.0
9,2020-12-09,1687,52069,0,50382,1687.0
10,2020-12-10,625,47282,0,46657,625.0
11,2020-12-11,2228,38230,581,36002,2809.0
12,2020-12-12,3271,36004,1611,32733,4882.0
13,2020-12-13,550,46557,0,46007,550.0
14,2020-12-14,2461,29552,92,27091,2553.0
15,2020-12-15,2381,42285,918,39904,3299.0
16,2020-12-16,1380,38851,5,37471,1385.0
17,2020-12-17,1982,35393,546,33411,2528.0
18,2020-12-18,902,35023,0,34121,902.0
19,2020-12-19,2599,33404,1011,30805,3610.0
20,2020-12-20,3243,42810,432,39567,3675.0
21,2020-12-21,1370,33473,0,32103,1370.0
22,2020-12-22,1116,38446,0,37330,1116.0
23,2020-12-23,1178,38505,0,37327,1178.0
24,2020-12-24,2652,49362,956,46710,3608.0
25,2020-12-25,3616,53693,1113,50077,4729.0
