,date,values-Production-2243196,values-Consumption-2243196,values-SelfConsumption-2243196,values-FeedIn-2243196,values-Purchased-2243196
0,2021-04-30,0.0,0.0,0.0,0.0,0.0
1,2021-05-01,0.0,0.0,0.0,0.0,0.0
2,2021-05-02,0.0,0.0,0.0,0.0,0.0
3,2021-05-03,0.0,0.0,0.0,0.0,0.0
4,2021-05-04,0.0,0.0,0.0,0.0,0.0
5,2021-05-05,0.0,0.0,0.0,0.0,0.0
6,2021-05-06,0.0,0.0,0.0,0.0,0.0
7,2021-05-07,0.0,0.0,0.0,0.0,0.0
8,2021-05-08,3184.0,27100.0,3067.0,117.0,24033.0
9,2021-05-09,13040.0,25644.0,8160.0,4880.0,17484.0
10,2021-05-10,20278.0,19999.0,7716.0,12562.0,12283.0
11,2021-05-11,16968.0,23868.0,9288.0,7680.0,14580.0
12,2021-05-12,26846.0,21936.0,9825.0,17021.0,12111.0
13,2021-05-13,8672.0,20254.0,6348.0,2324.0,13906.0
14,2021-05-14,10932.0,26211.0,7219.0,3713.0,18992.0
15,2021-05-15,12105.0,21893.0,6580.0,5525.0,15313.0
16,2021-05-16,28817.0,25046.0,12478.0,16339.0,12568.0
17,2021-05-17,17206.0,21906.0,8727.0,8479.0,13179.0
18,2021-05-18,24865.0,27479.0,12384.0,12481.0,15095.0
19,2021-05-19,27473.0,27546.0,12447.0,15026.0,15099.0
20,2021-05-20,11094.0,28396.0,7661.0,3433.0,20735.0
21,2021-05-21,12022.0,27804.0,8795.0,3227.0,19009.0
22,2021-05-22,12872.0,30870.0,8458.0,4414.0,22412.0
23,2021-05-23,21323.0,37942.0,13961.0,7362.0,23981.0
24,2021-05-24,23814.0,30074.0,11669.0,12145.0,18405.0
25,2021-05-25,22228.0,24383.0,10268.0,11960.0,14115.0
26,2021-05-26,20991.0,31147.0,12631.0,8360.0,18516.0
27,2021-05-27,35238.0,25403.0,15468.0,19770.0,9935.0
28,2021-05-28,11948.0,16602.0,6894.0,5054.0,9708.0
29,2021-05-29,12815.0,25704.0,6856.0,5959.0,18848.0
30,2021-05-30,23027.0,24186.0,9995.0,13032.0,14191.0
0,2021-05-31,11416,23544,7768,12128,19184.0
1,2021-06-01,12129,19859,21785,7730,33914.0
2,2021-06-02,10572,22701,21019,12129,31591.0
3,2021-06-03,5847,13093,11365,7246,17212.0
4,2021-06-04,8616,25045,5280,16429,13896.0
5,2021-06-05,11214,21556,23619,10342,34833.0
6,2021-06-06,9566,24150,4983,14584,14549.0
7,2021-06-07,9677,22367,10248,12690,19925.0
8,2021-06-08,10914,20104,21801,9190,32715.0
9,2021-06-09,14508,22557,20932,8049,35440.0
10,2021-06-10,10234,18447,9088,8213,19322.0
11,2021-06-11,8119,20197,9613,12078,17732.0
12,2021-06-12,9551,18786,20636,9235,30187.0
13,2021-06-13,14233,34708,19693,20475,33926.0
14,2021-06-14,17125,32723,17358,15598,34483.0
15,2021-06-15,12792,26542,15337,13750,28129.0
16,2021-06-16,13977,30669,16893,16692,30870.0
17,2021-06-17,8784,27387,4838,18603,13622.0
18,2021-06-18,4142,20469,225,16327,4367.0
19,2021-06-19,5888,18519,1492,12631,7380.0
20,2021-06-20,5917,29711,108,23794,6025.0
21,2021-06-21,8491,24225,1892,15734,10383.0
22,2021-06-22,11757,27032,10693,15275,22450.0
23,2021-06-23,12371,23965,21655,11594,34026.0
24,2021-06-24,9343,22050,4051,12707,13394.0
25,2021-06-25,11080,24553,8936,13473,20016.0
26,2021-06-26,9509,16715,12898,7206,22407.0
27,2021-06-27,7007,20828,511,13821,7518.0
28,2021-06-28,5958,23880,446,17922,6404.0
29,2021-06-29,6880,23191,3831,16311,10711.0
0,2021-06-30,18479.0,22903,7650,10829,12074
1,2021-07-01,22643.0,23224,11542,11101,12123
2,2021-07-02,16464.0,21085,6750,9714,11371
3,2021-07-03,16242.0,19751,8751,7491,12260
4,2021-07-04,19359.0,23136,9745,9614,13522
5,2021-07-05,34051.0,25162,21439,12612,12550
6,2021-07-06,20377.0,18117,11950,8427,9690
7,2021-07-07,18325.0,24089,8702,9623,14466
8,2021-07-08,15202.0,23238,4365,10837,12401
9,2021-07-09,22376.0,26307,10727,11649,14658
10,2021-07-10,12447.0,21298,3397,9050,12248
11,2021-07-11,25713.0,24627,16034,9679,14948
12,2021-07-12,14746.0,22620,5845,8901,13719
13,2021-07-13,12023.0,25545,3427,8596,16949
14,2021-07-14,33636.0,21773,21796,11840,9933
15,2021-07-15,18535.0,21622,8898,9637,11985
16,2021-07-16,32567.0,23031,22633,9934,13097
17,2021-07-17,30439.0,22952,20350,10089,12863
18,2021-07-18,29217.0,19394,19661,9556,9838
19,2021-07-19,29317.0,17059,20409,8908,8151
20,2021-07-20,28710.0,29956,14112,14598,15358
21,2021-07-21,28592.0,35226,12504,16088,19138
22,2021-07-22,28332.0,29737,14366,13966,15771
23,2021-07-23,29164.0,31572,13796,15368,16204
24,2021-07-24,8592.0,18136,2032,6560,11576
25,2021-07-25,7294.0,13323,2665,4629,8694
26,2021-07-26,20742.0,20084,11847,8895,11189
27,2021-07-27,18230.0,21553,8923,9307,12246
28,2021-07-28,13908.0,22661,5771,8137,14524
29,2021-07-29,31240.0,21062,21405,9835,11227
30,2021-07-30,11779.0,21043,4596,7183,13860
0,2021-07-31,7859,22539,14680,5079,12938.0
1,2021-08-01,7710,17969,10259,6637,14347.0
2,2021-08-02,8240,20906,12666,9675,17915.0
3,2021-08-03,10018,23396,13378,9501,19519.0
4,2021-08-04,9327,20204,10877,14304,23631.0
5,2021-08-05,8762,20912,12150,8548,17310.0
6,2021-08-06,9011,19391,10380,8456,17467.0
7,2021-08-07,9653,25001,15348,12960,22613.0
8,2021-08-08,8308,19505,11197,3956,12264.0
9,2021-08-09,10644,25499,14855,9109,19753.0
10,2021-08-10,9653,20655,11002,10324,19977.0
11,2021-08-11,10047,24466,14419,12047,22094.0
12,2021-08-12,8870,20985,12115,7851,16721.0
13,2021-08-13,8662,21347,12685,3407,12069.0
14,2021-08-14,7527,22744,15217,3799,11326.0
15,2021-08-15,7233,16415,9182,9535,16768.0
16,2021-08-16,10072,22759,12687,11816,21888.0
17,2021-08-17,6130,20011,13881,1342,7472.0
18,2021-08-18,7763,23058,15295,9227,16990.0
19,2021-08-19,8921,20638,11717,9486,18407.0
20,2021-08-20,7449,21290,13841,4832,12281.0
21,2021-08-21,5356,23425,18069,1098,6454.0
22,2021-08-22,7453,19688,12235,11800,19253.0
23,2021-08-23,6065,20476,14411,2613,8678.0
24,2021-08-24,8736,20354,11618,15252,23988.0
25,2021-08-25,7705,19453,11748,7577,15282.0
26,2021-08-26,7464,21549,14085,12625,20089.0
27,2021-08-27,5324,13909,8585,6524,11848.0
28,2021-08-28,5712,21049,15337,8616,14328.0
29,2021-08-29,8610,20466,11856,3913,12523.0
30,2021-08-30,5128,23479,18351,1193,6321.0
