,date,values-FeedIn-2274372,values-Consumption-2274372,values-SelfConsumption-2274372,values-Production-2274372,values-Purchased-2274372
0,2021-04-30,0.0,0.0,0.0,0.0,0.0
1,2021-05-01,0.0,0.0,0.0,0.0,0.0
2,2021-05-02,0.0,0.0,0.0,0.0,0.0
3,2021-05-03,0.0,0.0,0.0,0.0,0.0
4,2021-05-04,0.0,0.0,0.0,0.0,0.0
5,2021-05-05,0.0,0.0,0.0,0.0,0.0
6,2021-05-06,0.0,0.0,0.0,0.0,0.0
7,2021-05-07,0.0,0.0,0.0,0.0,0.0
8,2021-05-08,0.0,0.0,0.0,0.0,0.0
9,2021-05-09,0.0,0.0,0.0,0.0,0.0
10,2021-05-10,0.0,0.0,0.0,0.0,0.0
11,2021-05-11,0.0,0.0,0.0,0.0,0.0
12,2021-05-12,0.0,0.0,0.0,0.0,0.0
13,2021-05-13,0.0,0.0,0.0,0.0,0.0
14,2021-05-14,0.0,0.0,0.0,0.0,0.0
15,2021-05-15,0.0,0.0,0.0,0.0,0.0
16,2021-05-16,0.0,0.0,0.0,0.0,0.0
17,2021-05-17,0.0,0.0,0.0,0.0,0.0
18,2021-05-18,0.0,0.0,0.0,0.0,0.0
19,2021-05-19,0.0,0.0,0.0,0.0,0.0
20,2021-05-20,0.0,0.0,0.0,0.0,0.0
21,2021-05-21,0.0,0.0,0.0,0.0,0.0
22,2021-05-22,0.0,0.0,0.0,0.0,0.0
23,2021-05-23,0.0,0.0,0.0,0.0,0.0
24,2021-05-24,0.0,0.0,0.0,0.0,0.0
25,2021-05-25,0.0,0.0,0.0,0.0,0.0
26,2021-05-26,0.0,2670.0,0.0,0.0,2670.0
27,2021-05-27,25.0,25755.0,12861.0,12886.0,12894.0
28,2021-05-28,8.0,14627.0,5792.0,5800.0,8835.0
29,2021-05-29,51.0,17183.0,11701.0,11752.0,5482.0
30,2021-05-30,132.0,18964.0,15617.0,15749.0,3347.0
0,2021-05-31,65,13943,3559,10384,10449.0
1,2021-06-01,267,14920,4063,10857,11124.0
2,2021-06-02,6,11012,4908,6104,6110.0
3,2021-06-03,25,14128,5001,9127,9152.0
4,2021-06-04,90,15359,4330,11029,11119.0
5,2021-06-05,69,14426,3038,11388,11457.0
6,2021-06-06,72,15834,5351,10483,10555.0
7,2021-06-07,28,13597,4756,8841,8869.0
8,2021-06-08,40,15109,3811,11298,11338.0
9,2021-06-09,25,10913,3787,7126,7151.0
10,2021-06-10,18,16465,8051,8414,8432.0
11,2021-06-11,49,15546,4942,10604,10653.0
12,2021-06-12,35,13168,4413,8755,8790.0
13,2021-06-13,60,15265,4735,10530,10590.0
14,2021-06-14,48,13021,5140,7881,7929.0
15,2021-06-15,109,15789,3594,12195,12304.0
16,2021-06-16,29,11711,3993,7718,7747.0
17,2021-06-17,24,12602,6464,6138,6162.0
18,2021-06-18,2,12335,9360,2975,2977.0
19,2021-06-19,13,14541,10465,4076,4089.0
20,2021-06-20,13,15888,11655,4233,4246.0
21,2021-06-21,21,13072,7690,5382,5403.0
22,2021-06-22,49,17056,6578,10478,10527.0
23,2021-06-23,33,16150,5599,10551,10584.0
24,2021-06-24,23,10344,4533,5811,5834.0
25,2021-06-25,25,11911,5978,5933,5958.0
26,2021-06-26,53,16802,4997,11805,11858.0
27,2021-06-27,41,11344,7150,4194,4235.0
28,2021-06-28,4,11310,7380,3930,3934.0
29,2021-06-29,22,13482,7469,6013,6035.0
0,2021-06-30,17,14656,9366.0,9349,5307
1,2021-07-01,19,13622,9583.0,9564,4058
2,2021-07-02,15,6984,4455.0,4440,2544
3,2021-07-03,39,14414,8504.0,8465,5949
4,2021-07-04,50,14637,7289.0,7239,7398
5,2021-07-05,19,15373,8566.0,8547,6826
6,2021-07-06,12,11623,5729.0,5717,5906
7,2021-07-07,24,15689,9972.0,9948,5741
8,2021-07-08,18,10499,6891.0,6873,3626
9,2021-07-09,28,11465,6850.0,6822,4643
10,2021-07-10,12,12169,6478.0,6466,5703
11,2021-07-11,10,12929,5296.0,5286,7643
12,2021-07-12,22,12864,6675.0,6653,6211
13,2021-07-13,32,13463,8460.0,8428,5035
14,2021-07-14,45,17219,13252.0,13207,4012
15,2021-07-15,50,11637,7933.0,7883,3754
16,2021-07-16,8,9531,6455.0,6447,3084
17,2021-07-17,153,21793,17683.0,17530,4263
18,2021-07-18,111,15007,8731.0,8620,6387
19,2021-07-19,29,13748,9829.0,9800,3948
20,2021-07-20,19,12553,8448.0,8429,4124
21,2021-07-21,55,12539,8986.0,8931,3608
22,2021-07-22,24,13009,8935.0,8911,4098
23,2021-07-23,32,11327,7077.0,7045,4282
24,2021-07-24,18,12760,5577.0,5559,7201
25,2021-07-25,25,12098,4241.0,4216,7882
26,2021-07-26,19,13855,6911.0,6892,6963
27,2021-07-27,9,10319,4570.0,4561,5758
28,2021-07-28,31,16313,10325.0,10294,6019
29,2021-07-29,8,13673,9093.0,9085,4588
30,2021-07-30,18,9286,4604.0,4586,4700
0,2021-07-31,5231.0,10216,11,5220,4996
1,2021-08-01,8989.0,16235,58,8931,7304
2,2021-08-02,3302.0,8652,7,3295,5357
3,2021-08-03,11337.0,17338,101,11236,6102
4,2021-08-04,4638.0,9374,7,4631,4743
5,2021-08-05,3898.0,12621,8,3890,8731
6,2021-08-06,4738.0,11832,10,4728,7104
7,2021-08-07,7679.0,14913,30,7649,7264
8,2021-08-08,9782.0,15302,81,9701,5601
9,2021-08-09,5572.0,10301,12,5560,4741
10,2021-08-10,8727.0,13559,28,8699,4860
11,2021-08-11,9262.0,13998,18,9244,4754
12,2021-08-12,6645.0,11540,22,6623,4917
13,2021-08-13,4768.0,11217,10,4758,6459
14,2021-08-14,8108.0,15381,99,8009,7372
15,2021-08-15,9296.0,16274,34,9262,7012
16,2021-08-16,6376.0,11231,14,6362,4869
17,2021-08-17,3738.0,11737,8,3730,8007
18,2021-08-18,6287.0,12930,32,6255,6675
19,2021-08-19,5148.0,11877,8,5140,6737
20,2021-08-20,4160.0,12790,10,4150,8640
21,2021-08-21,4527.0,12561,24,4503,8058
22,2021-08-22,14072.0,20627,144,13928,6699
23,2021-08-23,8609.0,13394,34,8575,4819
24,2021-08-24,7597.0,12011,26,7571,4440
25,2021-08-25,5928.0,11355,18,5910,5445
26,2021-08-26,5845.0,11750,17,5828,5922
27,2021-08-27,4233.0,11327,6,4227,7100
28,2021-08-28,10755.0,18104,128,10627,7477
29,2021-08-29,6640.0,14330,27,6613,7717
30,2021-08-30,2847.0,11303,4,2843,8460
