,date,values-FeedIn-2384458,values-SelfConsumption-2384458,values-Production-2384458,values-Purchased-2384458,values-Consumption-2384458
0,2021-06-30,0.0,0.0,0.0,0.0,0.0
1,2021-07-01,0.0,0.0,0.0,0.0,0.0
2,2021-07-02,0.0,0.0,0.0,0.0,0.0
3,2021-07-03,0.0,0.0,0.0,0.0,0.0
4,2021-07-04,0.0,0.0,0.0,0.0,0.0
5,2021-07-05,0.0,0.0,0.0,0.0,0.0
6,2021-07-06,0.0,0.0,0.0,0.0,0.0
7,2021-07-07,0.0,0.0,0.0,0.0,0.0
8,2021-07-08,0.0,0.0,0.0,0.0,0.0
9,2021-07-09,0.0,0.0,0.0,0.0,0.0
10,2021-07-10,0.0,0.0,0.0,0.0,0.0
11,2021-07-11,0.0,0.0,0.0,0.0,0.0
12,2021-07-12,0.0,0.0,0.0,0.0,0.0
13,2021-07-13,0.0,0.0,0.0,0.0,0.0
14,2021-07-14,0.0,0.0,0.0,0.0,0.0
15,2021-07-15,0.0,0.0,0.0,0.0,0.0
16,2021-07-16,0.0,0.0,0.0,0.0,0.0
17,2021-07-17,0.0,0.0,0.0,0.0,0.0
18,2021-07-18,0.0,0.0,0.0,0.0,0.0
19,2021-07-19,0.0,0.0,0.0,0.0,0.0
20,2021-07-20,0.0,0.0,0.0,0.0,0.0
21,2021-07-21,0.0,0.0,0.0,0.0,0.0
22,2021-07-22,0.0,0.0,0.0,0.0,0.0
23,2021-07-23,0.0,0.0,0.0,0.0,0.0
24,2021-07-24,0.0,0.0,0.0,0.0,0.0
25,2021-07-25,0.0,0.0,0.0,0.0,0.0
26,2021-07-26,0.0,73.0,73.0,92.0,165.0
27,2021-07-27,0.0,0.0,0.0,0.0,0.0
28,2021-07-28,0.0,0.0,0.0,0.0,0.0
29,2021-07-29,0.0,0.0,0.0,0.0,0.0
30,2021-07-30,3.0,1855.0,1858.0,2522.0,4377.0
0,2021-07-31,3,20582,17606,2976,2979.0
1,2021-08-01,40,23744,17920,5824,5864.0
2,2021-08-02,4,9372,6143,3229,3233.0
3,2021-08-03,29,16645,9748,6897,6926.0
4,2021-08-04,9,11995,7721,4274,4283.0
5,2021-08-05,3,11781,7250,4531,4534.0
6,2021-08-06,5,15532,6648,8884,8889.0
7,2021-08-07,33,15626,8751,6875,6908.0
8,2021-08-08,61,23980,15248,8732,8793.0
9,2021-08-09,34,18628,8317,10311,10345.0
10,2021-08-10,5,11578,6292,5286,5291.0
11,2021-08-11,9,12326,7229,5097,5106.0
12,2021-08-12,12,16228,11227,5001,5013.0
13,2021-08-13,18,13294,8035,5259,5277.0
14,2021-08-14,17,14231,8792,5439,5456.0
15,2021-08-15,59,14637,8877,5760,5819.0
16,2021-08-16,52,13560,8779,4781,4833.0
17,2021-08-17,49,10024,7253,2771,2820.0
18,2021-08-18,17,16542,8488,8054,8071.0
19,2021-08-19,1,7899,2812,5087,5088.0
20,2021-08-20,1,7260,2463,4797,4798.0
21,2021-08-21,1,4757,2694,2063,2064.0
22,2021-08-22,1,5921,2466,3455,3456.0
23,2021-08-23,29,13665,5858,7807,7836.0
24,2021-08-24,31,8590,3095,5495,5526.0
25,2021-08-25,1,6564,2550,4014,4015.0
26,2021-08-26,1,7887,2559,5328,5329.0
27,2021-08-27,8,15091,11633,3458,3466.0
28,2021-08-28,25,16733,12012,4721,4746.0
29,2021-08-29,43,22933,17420,5513,5556.0
30,2021-08-30,11,16409,13114,3295,3306.0
