,date,values-SelfConsumption-2401661,values-FeedIn-2401661,values-Production-2401661,values-Purchased-2401661,values-Consumption-2401661
0,2021-07-31,0.0,0.0,0.0,0.0,0.0
1,2021-08-01,0.0,0.0,0.0,0.0,0.0
2,2021-08-02,0.0,0.0,0.0,0.0,0.0
3,2021-08-03,0.0,0.0,0.0,0.0,0.0
4,2021-08-04,0.0,0.0,0.0,30.0,30.0
5,2021-08-05,2408.0,3.0,2411.0,5501.0,7909.0
6,2021-08-06,3493.0,18.0,3511.0,6365.0,9858.0
7,2021-08-07,6197.0,2.0,6199.0,3855.0,10052.0
8,2021-08-08,4863.0,6.0,4869.0,3001.0,7864.0
9,2021-08-09,4705.0,31.0,4736.0,4659.0,9364.0
10,2021-08-10,9579.0,60.0,9639.0,3052.0,12631.0
11,2021-08-11,7322.0,3.0,7325.0,2004.0,9326.0
12,2021-08-12,5763.0,21.0,5784.0,3234.0,8997.0
13,2021-08-13,6753.0,14.0,6767.0,2463.0,9216.0
14,2021-08-14,6435.0,6.0,6441.0,2581.0,9016.0
15,2021-08-15,4523.0,25.0,4548.0,4230.0,8753.0
16,2021-08-16,6765.0,4.0,6769.0,4638.0,11403.0
17,2021-08-17,3689.0,2.0,3691.0,5018.0,8707.0
18,2021-08-18,5491.0,4.0,5495.0,4202.0,9693.0
19,2021-08-19,4388.0,24.0,4412.0,4299.0,8687.0
20,2021-08-20,7453.0,3.0,7456.0,3167.0,10620.0
21,2021-08-21,3085.0,2.0,3087.0,2405.0,5490.0
22,2021-08-22,7308.0,22.0,7330.0,3642.0,10950.0
23,2021-08-23,4626.0,2.0,4628.0,3475.0,8101.0
24,2021-08-24,6203.0,6.0,6209.0,2623.0,8826.0
25,2021-08-25,7648.0,12.0,7660.0,4138.0,11786.0
26,2021-08-26,5576.0,18.0,5594.0,2607.0,8183.0
27,2021-08-27,4860.0,5.0,4865.0,3583.0,8443.0
28,2021-08-28,6156.0,6.0,6162.0,4519.0,10675.0
29,2021-08-29,5959.0,3.0,5962.0,3797.0,9756.0
30,2021-08-30,3540.0,2.0,3542.0,3424.0,6964.0
